Season,Team,Pos,wRC+,AVG+,OBP+,SLG+,HR,PA,Name
2025,NYY,CF,119.825501066802,109.982956110069,104.811535507713,116.104070805764,12,329,Cody Bellinger
2025,PHI,SS,121.675947622877,119.657768243983,108.818165394451,113.471816848744,11,372,Trea Turner
2025,LAD,LF,75.5737930402134,70.7734130816892,93.7929847721563,75.4390175982107,6,271,Michael Conforto
2025,BAL,,144.354759084448,121.188938969144,122.280124705784,118.696679121377,11,282,Ryan O'Hearn
2025,MIL,1B,110.523037284685,96.2491299199411,104.940018792558,104.560681998785,12,308,Rhys Hoskins
2025,PHI,LF,151.484855786327,101.294447521282,120.499669107353,133.313935098485,25,375,Kyle Schwarber
2025,SFG,3B,132.186737327481,98.6519833205727,113.060734062047,113.210815811602,12,272,Matt Chapman
2025,PIT,SS,85.0272271246788,112.000364646743,100.225484928794,86.5099846586512,1,266,Isiah Kiner-Falefa
2025,ATL,2B,74.1395325493667,90.5987603246656,92.9132107257803,80.0873215331402,6,358,Ozzie Albies
2025,TBR,,127.816643987547,118.249888174944,110.315449386751,116.955133984607,13,356,Yandy Diaz
2025,ATH,,93.2041216097647,99.007034798221,103.076902917,92.192669030221,7,257,Luis Urias
2025,DET,2B,137.293074228381,116.44250116812,123.19755341392,110.000560647482,9,311,Gleyber Torres
2025,- - -,3B,139.777621294588,106.897081117416,123.097677072826,121.19615249008,17,396,Rafael Devers
2025,LAA,LF,110.787374203064,89.2246572280183,93.1630599953723,120.691719739742,20,353,Taylor Ward
2025,CHC,LF,106.057714038428,96.0998603961848,102.555147708612,99.5060547249785,12,358,Ian Happ
2025,BAL,CF,98.1755486877119,87.7696772404549,93.8406214767164,102.565251020466,12,280,Cedric Mullins
2025,MIN,1B,97.6983674114089,106.780920746599,102.870580939514,93.182053916488,6,329,Ty France
2025,CHC,SS,100.606490628888,99.406972976439,93.6054778729886,106.523913112048,14,353,Dansby Swanson
2025,CHC,RF,155.873038984676,117.591030484294,123.338982727251,133.478051680154,17,374,Kyle Tucker
